switch,duration,n_packets,n_bytes,dl_src,dl_dst
s1,1412.990,1379,135142,ce:b1:70:a3:21:e9,82:0e:2f:bc:8f:ba
s1,1412.988,1379,135142,82:0e:2f:bc:8f:ba,ce:b1:70:a3:21:e9
s2,1413.018,1379,135142,ce:b1:70:a3:21:e9,82:0e:2f:bc:8f:ba
s2,1413.017,1379,135142,82:0e:2f:bc:8f:ba,ce:b1:70:a3:21:e9
s1,1414.052,1380,135240,ce:b1:70:a3:21:e9,82:0e:2f:bc:8f:ba
s1,1414.050,1380,135240,82:0e:2f:bc:8f:ba,ce:b1:70:a3:21:e9
s2,1414.078,1380,135240,ce:b1:70:a3:21:e9,82:0e:2f:bc:8f:ba
s2,1414.077,1380,135240,82:0e:2f:bc:8f:ba,ce:b1:70:a3:21:e9
s1,1415.110,1381,135338,ce:b1:70:a3:21:e9,82:0e:2f:bc:8f:ba
s1,1415.108,1381,135338,82:0e:2f:bc:8f:ba,ce:b1:70:a3:21:e9
s2,1415.136,1381,135338,ce:b1:70:a3:21:e9,82:0e:2f:bc:8f:ba
s2,1415.135,1381,135338,82:0e:2f:bc:8f:ba,ce:b1:70:a3:21:e9
