SDFB,SDFP
0.0,0.0
7350.0,75.0
6929.646455628165,70.71067811865476
6379.557253446355,65.09752299435056
5889.922294903388,60.101247907177424
5489.4763639166895,56.0150649379254
5155.536829467907,52.60751866803987
4871.004208579582,49.704124577342675
4627.636860599614,47.220784291832786
4416.702462244882,45.06839247188655
4233.18949073424,43.19581112994123
4070.466895824114,41.53537648800116
3923.8398353213192,40.03918199307469
3791.861943689406,38.692468813157205
3672.2680512184834,37.472122971617175
3564.0645550191357,36.36800566346057
3464.832819006975,35.355436928642604
3372.7267717001937,34.415579303063204
3288.194303204004,33.55300309391841
3209.106292645975,32.74598257802016
3135.986111080356,31.999858276330148
3067.125185059529,31.29719576591356
3002.598232142838,30.638757470845288
2941.9701153686487,30.02010321804743
2885.28310680252,29.441664355127756
